Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
51,7,0,197,9,Some Random Commen with Id 51
52,7,0,25,8,Some Random Commen with Id 52
53,7,0,90,8,Some Random Commen with Id 53
54,7,0,80,4,Some Random Commen with Id 54
55,8,4,184,4,Some Random Commen with Id 55
56,8,4,186,5,Some Random Commen with Id 56
57,8,4,9,2,Some Random Commen with Id 57
58,8,4,3,4,Some Random Commen with Id 58
59,8,4,17,8,Some Random Commen with Id 59
60,8,4,22,1,Some Random Commen with Id 60
61,8,4,25,4,Some Random Commen with Id 61
62,8,4,90,2,Some Random Commen with Id 62
63,8,4,159,2,Some Random Commen with Id 63
64,9,2,37,7,Some Random Commen with Id 64
65,9,2,34,5,Some Random Commen with Id 65
66,11,9,17,3,Some Random Commen with Id 66
67,11,9,68,6,Some Random Commen with Id 67
68,11,9,158,0,Some Random Commen with Id 68
69,11,9,73,3,Some Random Commen with Id 69
70,11,9,21,2,Some Random Commen with Id 70
71,11,9,185,4,Some Random Commen with Id 71
72,11,9,166,3,Some Random Commen with Id 72
73,12,0,91,3,Some Random Commen with Id 73
74,12,0,151,8,Some Random Commen with Id 74
75,12,0,17,6,Some Random Commen with Id 75
76,12,0,120,0,Some Random Commen with Id 76
77,12,0,149,9,Some Random Commen with Id 77
78,12,0,154,6,Some Random Commen with Id 78
79,13,6,176,7,Some Random Commen with Id 79
80,14,9,19,5,Some Random Commen with Id 80
81,14,9,189,6,Some Random Commen with Id 81
82,14,9,112,4,Some Random Commen with Id 82
83,15,9,108,6,Some Random Commen with Id 83
84,15,9,21,5,Some Random Commen with Id 84
85,15,9,76,4,Some Random Commen with Id 85
86,16,1,26,8,Some Random Commen with Id 86
87,17,9,129,1,Some Random Commen with Id 87
88,17,9,50,2,Some Random Commen with Id 88
89,17,9,49,9,Some Random Commen with Id 89
90,17,9,78,2,Some Random Commen with Id 90
91,17,9,78,4,Some Random Commen with Id 91
92,17,9,82,2,Some Random Commen with Id 92
93,17,9,195,9,Some Random Commen with Id 93
94,18,2,4,0,Some Random Commen with Id 94
95,18,2,159,0,Some Random Commen with Id 95
96,19,7,43,4,Some Random Commen with Id 96
97,19,7,150,5,Some Random Commen with Id 97
98,20,0,15,0,Some Random Commen with Id 98
99,20,0,76,8,Some Random Commen with Id 99
100,20,0,81,3,Some Random Commen with Id 100
101,20,0,15,7,Some Random Commen with Id 101
102,20,0,172,6,Some Random Commen with Id 102
103,20,0,177,0,Some Random Commen with Id 103
104,20,0,68,4,Some Random Commen with Id 104
105,20,0,82,2,Some Random Commen with Id 105
106,20,0,39,7,Some Random Commen with Id 106
107,21,6,97,6,Some Random Commen with Id 107
108,21,6,165,8,Some Random Commen with Id 108
109,22,9,43,3,Some Random Commen with Id 109
110,22,9,26,0,Some Random Commen with Id 110
111,22,9,136,1,Some Random Commen with Id 111
112,22,9,3,9,Some Random Commen with Id 112
113,22,9,140,1,Some Random Commen with Id 113
114,22,9,12,1,Some Random Commen with Id 114
115,22,9,63,1,Some Random Commen with Id 115
116,23,0,88,9,Some Random Commen with Id 116
117,23,0,175,5,Some Random Commen with Id 117
118,23,0,0,6,Some Random Commen with Id 118
119,24,5,156,5,Some Random Commen with Id 119
120,24,5,27,6,Some Random Commen with Id 120
121,25,1,190,4,Some Random Commen with Id 121
122,25,1,114,0,Some Random Commen with Id 122
123,25,1,179,6,Some Random Commen with Id 123
124,26,4,17,7,Some Random Commen with Id 124
125,26,4,13,9,Some Random Commen with Id 125
126,26,4,69,7,Some Random Commen with Id 126
127,26,4,96,7,Some Random Commen with Id 127
128,27,3,8,3,Some Random Commen with Id 128
129,28,0,118,7,Some Random Commen with Id 129
130,28,0,12,8,Some Random Commen with Id 130
131,28,0,42,7,Some Random Commen with Id 131
132,28,0,173,4,Some Random Commen with Id 132
133,29,3,142,6,Some Random Commen with Id 133
134,29,3,84,7,Some Random Commen with Id 134
135,29,3,38,6,Some Random Commen with Id 135
136,29,3,54,5,Some Random Commen with Id 136
137,29,3,157,0,Some Random Commen with Id 137
138,29,3,184,6,Some Random Commen with Id 138
139,29,3,106,9,Some Random Commen with Id 139
140,29,3,85,4,Some Random Commen with Id 140
141,30,5,4,2,Some Random Commen with Id 141
142,30,5,166,0,Some Random Commen with Id 142
143,30,5,1,7,Some Random Commen with Id 143
144,30,5,149,6,Some Random Commen with Id 144
145,30,5,21,2,Some Random Commen with Id 145
146,30,5,188,5,Some Random Commen with Id 146
147,30,5,196,4,Some Random Commen with Id 147
148,31,2,20,3,Some Random Commen with Id 148
149,31,2,160,3,Some Random Commen with Id 149
150,31,2,45,9,Some Random Commen with Id 150
151,31,2,156,3,Some Random Commen with Id 151
152,31,2,100,0,Some Random Commen with Id 152
153,31,2,101,0,Some Random Commen with Id 153
154,31,2,57,6,Some Random Commen with Id 154
155,31,2,103,8,Some Random Commen with Id 155
156,32,3,27,0,Some Random Commen with Id 156
157,32,3,54,5,Some Random Commen with Id 157
158,32,3,146,3,Some Random Commen with Id 158
159,32,3,105,4,Some Random Commen with Id 159
160,32,3,180,5,Some Random Commen with Id 160
161,32,3,122,8,Some Random Commen with Id 161
162,33,6,70,0,Some Random Commen with Id 162
163,33,6,154,2,Some Random Commen with Id 163
164,34,8,169,5,Some Random Commen with Id 164
165,34,8,74,2,Some Random Commen with Id 165
166,34,8,123,6,Some Random Commen with Id 166
167,34,8,58,8,Some Random Commen with Id 167
168,34,8,14,5,Some Random Commen with Id 168
169,37,7,136,3,Some Random Commen with Id 169
170,37,7,91,4,Some Random Commen with Id 170
171,39,8,175,8,Some Random Commen with Id 171
172,39,8,63,5,Some Random Commen with Id 172
173,39,8,179,4,Some Random Commen with Id 173
174,39,8,89,7,Some Random Commen with Id 174
175,39,8,40,3,Some Random Commen with Id 175
176,39,8,33,6,Some Random Commen with Id 176
177,39,8,63,3,Some Random Commen with Id 177
178,39,8,171,9,Some Random Commen with Id 178
179,39,8,64,6,Some Random Commen with Id 179
